State,cases,deaths,CVAC level of concern for vaccination rollout,Percent Hispanic,Percent American Indian Alaska Native,Percent Asian,Percent Black,Percent Native Hawaiian Pacific Islander,Percent White,% Population Hesitant or Strongly Hesitant Towards COVID-19 Vaccine,AREA_SQMI,population,housing units count,households count,population density (pop per sqmi),per capita income,poverty rate,unemployment rate,% adults without hs diploma,% population >65,% population <17,svi socioeconomic ranking,svi household composition and disability ranking,svi minority status and language ranking,svi housing type and transportation ranking,svi overall ranking,% population uninsured,Premature death raw value,Poor or fair health raw value,Poor physical health days raw value,Poor mental health days raw value,Adult smoking raw value,Adult obesity raw value,Physical inactivity raw value,Excessive drinking raw value,Preventable hospital stays raw value,Flu vaccinations raw value,Life expectancy raw value,Ratio of population to primary care physicians.,Food environment index raw value,Food insecurity raw value,Homeownership raw value,Broadband access raw value,Income inequality raw value,Air pollution - particulate matter raw value,Drinking water violations raw value,% Rural raw value,cases per 100k,deaths per 100k,Percent of cases resulting in death,impact_points,impact_category,impact_category_code,state_abbr
WYOMING,62642,751.0,0.5574,0.083,0.0187,0.0064,0.0053,0.0009,0.8665,0.3765,97088,581836,274985,230630,5.99,31455.09,11.55,4.12,7.28,17.19,23.17,0.21,0.34,0.41,0.42,0.25,11.95,7098.3108,0.1568,3.7225,4.0161,0.1936,0.2931,0.241,0.2016,2995.3913,0.397,79.3912,1836.6585,7.7522,0.1226,0.7312,0.8101,4.1969,4.487,0.5217,0.5053,10766,129,1.1988761533795218,13680.3758,1-Average,1.0,WY
NEBRASKA,224873,2521.0,0.2368,0.0696,0.0125,0.0056,0.0093,0.0003,0.8891,0.1403,76817,1904760,830749,754063,24.8,28545.91,11.0,2.66,8.56,20.92,23.05,0.21,0.41,0.35,0.22,0.2,8.32,6794.046,0.1475,3.3861,3.7421,0.1754,0.3533,0.2689,0.2304,3587.8354,0.3713,79.2348,1885.4239,7.5937,0.1191,0.7302,0.7764,3.9799,6.0215,0.2405,0.7016,11805,132,1.1210772302588574,13974.2277,1-Average,1.0,NE
NORTH CAROLINA,1016742,13468.0,0.6313,0.0733,0.0159,0.0119,0.2009,0.0005,0.6774,0.2408,48619,10155624,4573066,3918597,208.88,25416.22,17.52,7.01,15.49,18.97,21.03,0.65,0.54,0.68,0.6,0.66,12.0,8899.3419,0.2144,4.2873,4.7936,0.2204,0.3431,0.2699,0.1749,4653.63,0.5022,77.0718,2884.6379,7.3327,0.1515,0.6988,0.7463,4.6503,8.376,0.29,0.612,10011,132,1.3246231590708362,14135.0537,1-Average,1.0,NC
VIRGINIA,681326,11434.0,0.308,0.0549,0.0024,0.0211,0.1827,0.0005,0.7122,0.1064,39481,8413774,3491091,3128415,213.1,30125.81,14.2,5.61,13.81,18.56,20.22,0.46,0.37,0.53,0.44,0.43,9.9,8529.7377,0.1957,4.2825,4.6038,0.2064,0.3335,0.2647,0.1829,4651.145,0.4943,77.3945,2821.0966,8.0844,0.1111,0.6959,0.7575,4.445,7.7429,0.2,0.5236,8097,135,1.6781981019365177,14721.1538,1-Average,1.0,VA
MINNESOTA,605896,7708.0,0.3309,0.0457,0.0191,0.0153,0.0177,0.0005,0.8821,0.1199,79625,5527358,2420473,2167801,69.42,30827.47,10.75,3.62,8.1,18.95,22.99,0.19,0.39,0.38,0.45,0.27,5.06,6207.2536,0.1434,3.5155,3.7648,0.1965,0.33,0.2381,0.2315,5846.3448,0.448,80.1733,2121.5603,8.4747,0.086,0.7681,0.7911,4.0491,6.3069,0.2069,0.6134,10961,139,1.2721655201552742,14828.3613,1-Average,1.0,MN
WISCONSIN,678260,8144.0,0.1715,0.0385,0.0265,0.0128,0.0166,0.0004,0.8883,0.244,54166,5778394,2681232,2343129,106.68,29772.25,11.52,3.94,8.4,19.13,21.38,0.24,0.31,0.36,0.37,0.24,6.59,6616.8677,0.1589,3.9536,4.1911,0.201,0.3329,0.2206,0.2698,3520.5972,0.481,79.3095,2470.9902,8.5676,0.0895,0.74,0.7939,4.0402,7.0472,0.375,0.6011,11737,140,1.2007194881019079,14933.3483,1-Average,1.0,WI
MONTANA,114059,1668.0,0.3284,0.0316,0.0786,0.0061,0.0026,0.0006,0.858,0.4222,145546,1041732,505685,423240,7.16,28069.07,14.16,4.22,8.11,20.82,21.72,0.32,0.36,0.26,0.38,0.28,11.37,7987.802,0.1638,3.9895,4.3728,0.2125,0.3017,0.2478,0.2263,3148.4792,0.3671,78.639,1525.0912,7.4625,0.1101,0.7141,0.7549,4.3156,5.6417,0.3542,0.7098,10948,160,1.46240103805925,17180.2874,1-Average,1.0,MT
WEST VIRGINIA,164279,2901.0,0.3933,0.0124,0.0019,0.0046,0.0244,0.0002,0.9423,0.1791,24041,1829054,890715,734676,76.08,23670.25,18.43,7.45,15.28,20.09,20.07,0.69,0.55,0.15,0.52,0.52,6.55,10655.3336,0.2513,5.5712,6.0628,0.2703,0.379,0.2869,0.1478,5893.2364,0.3887,75.1753,2704.5017,7.4727,0.1409,0.7633,0.7333,4.7039,7.7582,0.6,0.692,8981,158,1.7658982584505627,17254.5919,1-Average,1.0,WV
CALIFORNIA,3824416,63715.0,0.6333,0.3062,0.0177,0.0731,0.0298,0.0028,0.5374,0.1081,155793,39148760,14084824,12965435,251.29,32089.62,15.02,7.4,15.59,17.07,22.24,0.53,0.39,0.85,0.69,0.63,7.81,6991.0434,0.1919,4.4497,4.5085,0.1494,0.2717,0.2104,0.209,3210.931,0.4105,80.5213,1796.8151,7.9121,0.1191,0.6214,0.8344,4.7325,8.5672,0.6897,0.287,9768,162,1.6660059993473513,17623.0115,1-Average,1.0,CA
KENTUCKY,466718,7292.0,0.2717,0.0245,0.002,0.0057,0.0365,0.0004,0.9152,0.3252,39490,4440204,1974406,1728681,112.44,23117.96,20.98,7.06,18.55,16.99,22.58,0.73,0.63,0.24,0.56,0.61,6.43,10474.1245,0.2585,5.5483,5.5336,0.2621,0.362,0.315,0.1534,6183.8583,0.4193,74.6264,3438.7983,7.1573,0.1636,0.7184,0.7225,4.9735,8.7058,0.1583,0.7165,10511,164,1.5623995646193205,17703.5495,1-Average,1.0,KY
